Date,Game,event_description,winner,date,event_description_at,away_team,home_team,sep,pair_key,game_number
19-04-2025,Denver Nuggets & Los Angeles Clippers,Los Angeles Clippers @ Denver Nuggets,L,2025-04-19,Los Angeles Clippers @ Denver Nuggets,Los Angeles Clippers,Denver Nuggets,@,Denver Nuggets | Los Angeles Clippers,1
19-04-2025,Detroit Pistons & New York Knicks,New York Knicks vs. Detroit Pistons,W,2025-04-19,Detroit Pistons @ New York Knicks,Detroit Pistons,New York Knicks,vs,Detroit Pistons | New York Knicks,1
19-04-2025,Indiana Pacers & Milwaukee Bucks,Indiana Pacers vs. Milwaukee Bucks,W,2025-04-19,Milwaukee Bucks @ Indiana Pacers,Milwaukee Bucks,Indiana Pacers,vs,Indiana Pacers | Milwaukee Bucks,1
19-04-2025,Los Angeles Lakers & Minnesota Timberwolves,Minnesota Timberwolves @ Los Angeles Lakers,W,2025-04-19,Minnesota Timberwolves @ Los Angeles Lakers,Minnesota Timberwolves,Los Angeles Lakers,@,Los Angeles Lakers | Minnesota Timberwolves,1
20-04-2025,Boston Celtics & Orlando Magic,Boston Celtics vs. Orlando Magic,W,2025-04-20,Orlando Magic @ Boston Celtics,Orlando Magic,Boston Celtics,vs,Boston Celtics | Orlando Magic,1
20-04-2025,Cleveland Cavaliers & Miami Heat,Miami Heat @ Cleveland Cavaliers,L,2025-04-20,Miami Heat @ Cleveland Cavaliers,Miami Heat,Cleveland Cavaliers,@,Cleveland Cavaliers | Miami Heat,1
20-04-2025,Golden State Warriors & Houston Rockets,Golden State Warriors @  Houston Rockets,W,2025-04-20,Golden State Warriors @ Houston Rockets,Golden State Warriors,Houston Rockets,@,Golden State Warriors | Houston Rockets,1
20-04-2025,Memphis Grizzlies & Oklahoma City Thunder,Memphis Grizzlies @ Oklahoma City Thunder,L,2025-04-20,Memphis Grizzlies @ Oklahoma City Thunder,Memphis Grizzlies,Oklahoma City Thunder,@,Memphis Grizzlies | Oklahoma City Thunder,1
21-04-2025,Denver Nuggets & Los Angeles Clippers,Los Angeles Clippers @ Denver Nuggets,W,2025-04-21,Los Angeles Clippers @ Denver Nuggets,Los Angeles Clippers,Denver Nuggets,@,Denver Nuggets | Los Angeles Clippers,2
21-04-2025,Detroit Pistons & New York Knicks,New York Knicks vs. Detroit Pistons,L,2025-04-21,Detroit Pistons @ New York Knicks,Detroit Pistons,New York Knicks,vs,Detroit Pistons | New York Knicks,2
22-04-2025,Indiana Pacers & Milwaukee Bucks,Indiana Pacers vs. Milwaukee Bucks,W,2025-04-22,Milwaukee Bucks @ Indiana Pacers,Milwaukee Bucks,Indiana Pacers,vs,Indiana Pacers | Milwaukee Bucks,2
22-04-2025,Los Angeles Lakers & Minnesota Timberwolves,Minnesota Timberwolves @ Los Angeles Lakers,L,2025-04-22,Minnesota Timberwolves @ Los Angeles Lakers,Minnesota Timberwolves,Los Angeles Lakers,@,Los Angeles Lakers | Minnesota Timberwolves,2
