Date,Game,event_description,winner,game_count
19-04-2025,Denver Nuggets & Los Angeles Clippers,Los Angeles Clippers @ Denver Nuggets,L,1
19-04-2025,Detroit Pistons & New York Knicks,New York Knicks vs. Detroit Pistons,W,1
19-04-2025,Indiana Pacers & Milwaukee Bucks,Indiana Pacers vs. Milwaukee Bucks,W,1
19-04-2025,Los Angeles Lakers & Minnesota Timberwolves,Minnesota Timberwolves @ Los Angeles Lakers,W,1
20-04-2025,Boston Celtics & Orlando Magic,Boston Celtics vs. Orlando Magic,W,1
20-04-2025,Cleveland Cavaliers & Miami Heat,Miami Heat @ Cleveland Cavaliers,L,1
20-04-2025,Golden State Warriors & Houston Rockets,Golden State Warriors @  Houston Rockets,W,1
20-04-2025,Memphis Grizzlies & Oklahoma City Thunder,Memphis Grizzlies @ Oklahoma City Thunder,L,1
21-04-2025,Denver Nuggets & Los Angeles Clippers,Los Angeles Clippers @ Denver Nuggets,W,2
21-04-2025,Detroit Pistons & New York Knicks,New York Knicks vs. Detroit Pistons,L,2
22-04-2025,Indiana Pacers & Milwaukee Bucks,Indiana Pacers vs. Milwaukee Bucks,W,2
22-04-2025,Los Angeles Lakers & Minnesota Timberwolves,Minnesota Timberwolves @ Los Angeles Lakers,L,2
22-04-2025,Memphis Grizzlies & Oklahoma City Thunder,Memphis Grizzlies @ Oklahoma City Thunder,L,2
23-04-2025,Boston Celtics & Orlando Magic,Boston Celtics vs. Orlando Magic,W,2
23-04-2025,Cleveland Cavaliers & Miami Heat,Miami Heat @ Cleveland Cavaliers,L,2
23-04-2025,Golden State Warriors & Houston Rockets,Golden State Warriors @  Houston Rockets,L,2
24-04-2025,Denver Nuggets & Los Angeles Clippers,Los Angeles Clippers vs. Denver Nuggets,W,3
24-04-2025,Detroit Pistons & New York Knicks,New York Knicks @ Detroit Pistons,W,3
24-04-2025,Memphis Grizzlies & Oklahoma City Thunder,Memphis Grizzlies vs. Oklahoma City Thunder,L,3
25-04-2025,Boston Celtics & Orlando Magic,Boston Celtics @ Orlando Magic,L,3
25-04-2025,Indiana Pacers & Milwaukee Bucks,Indiana Pacers @ Milwaukee Bucks,L,3
25-04-2025,Los Angeles Lakers & Minnesota Timberwolves,Minnesota Timberwolves vs. Los Angeles Lakers,W,3
26-04-2025,Cleveland Cavaliers & Miami Heat,Miami Heat vs. Cleveland Cavaliers,L,3
26-04-2025,Denver Nuggets & Los Angeles Clippers,Los Angeles Clippers vs. Denver Nuggets,L,4
26-04-2025,Golden State Warriors & Houston Rockets,Golden State Warriors vs.  Houston Rockets,W,3
26-04-2025,Memphis Grizzlies & Oklahoma City Thunder,Memphis Grizzlies vs. Oklahoma City Thunder,L,4
