date,vendor_candidates,actual_candidates,strict_overlap,vendor_only,actual_only,pair_overlap,vendor_only_pair,actual_only_pair,strict_overlap_rate,pair_overlap_rate
2025-04-19,4,4,2,2,2,2,2,2,0.5,0.5
2025-04-20,4,4,3,1,1,3,1,1,0.75,0.75
2025-04-21,2,2,1,1,1,1,1,1,0.5,0.5
2025-04-22,3,3,2,1,1,2,1,1,0.6666666666666666,0.6666666666666666
2025-04-23,3,3,2,1,1,2,1,1,0.6666666666666666,0.6666666666666666
2025-04-24,3,3,1,2,2,1,2,2,0.3333333333333333,0.3333333333333333
2025-04-25,3,3,2,1,1,2,1,1,0.6666666666666666,0.6666666666666666
2025-04-26,4,4,0,4,4,0,4,4,0.0,0.0
2025-04-27,4,4,3,1,1,3,1,1,0.75,0.75
2025-04-28,3,2,0,3,2,0,2,2,0.0,0.0
2025-04-29,4,4,1,3,3,1,3,3,0.25,0.25
2025-04-30,3,2,2,1,0,2,0,0,0.6666666666666666,1.0
2025-05-01,3,2,1,2,1,1,1,1,0.3333333333333333,0.5
2025-05-02,2,1,0,2,1,0,1,1,0.0,0.0
2025-05-03,2,1,1,1,0,1,0,0,0.5,1.0
2025-05-04,3,2,2,1,0,2,0,0,0.6666666666666666,1.0
2025-05-05,2,2,2,0,0,2,0,0,1.0,1.0
2025-05-06,2,2,2,0,0,2,0,0,1.0,1.0
2025-05-07,2,2,2,0,0,2,0,0,1.0,1.0
2025-05-08,1,1,1,0,0,1,0,0,1.0,1.0
2025-05-09,2,2,0,2,2,0,2,2,0.0,0.0
2025-05-10,2,2,0,2,2,0,2,2,0.0,0.0
2025-05-11,2,2,0,2,2,0,2,2,0.0,0.0
2025-05-12,2,2,0,2,2,0,2,2,0.0,0.0
2025-05-13,2,2,2,0,0,2,0,0,1.0,1.0
2025-05-14,2,2,2,0,0,2,0,0,1.0,1.0
2025-05-15,2,1,0,2,1,0,1,1,0.0,0.0
2025-05-16,1,1,0,1,1,0,1,1,0.0,0.0
2025-05-17,1,0,0,1,0,0,0,0,0.0,
2025-05-18,2,1,1,1,0,1,0,0,0.5,1.0
2025-05-19,1,0,0,1,0,0,0,0,0.0,
2025-05-20,1,1,0,1,1,0,1,1,0.0,0.0
2025-05-21,1,1,0,1,1,0,1,1,0.0,0.0
2025-05-22,1,1,0,1,1,0,1,1,0.0,0.0
2025-05-23,1,1,0,1,1,0,1,1,0.0,0.0
2025-05-24,1,1,1,0,0,1,0,0,1.0,1.0
2025-05-25,1,1,1,0,0,1,0,0,1.0,1.0
2025-05-26,1,1,1,0,0,1,0,0,1.0,1.0
2025-05-27,1,1,1,0,0,1,0,0,1.0,1.0
2025-05-28,1,1,0,1,1,0,1,1,0.0,0.0
2025-05-29,1,1,0,1,1,0,1,1,0.0,0.0
2025-05-30,1,0,0,1,0,0,0,0,0.0,
2025-05-31,1,1,1,0,0,1,0,0,1.0,1.0
2025-06-02,1,0,0,1,0,0,0,0,0.0,
2025-06-04,1,0,0,1,0,0,0,0,0.0,
2025-06-05,1,1,1,0,0,1,0,0,1.0,1.0
2025-06-08,1,1,1,0,0,1,0,0,1.0,1.0
2025-06-11,1,1,0,1,1,0,1,1,0.0,0.0
2025-06-13,1,1,0,1,1,0,1,1,0.0,0.0
2025-06-16,1,1,1,0,0,1,0,0,1.0,1.0
2025-06-19,1,1,0,1,1,0,1,1,0.0,0.0
2025-06-22,1,1,1,0,0,1,0,0,1.0,1.0
